INFO [2018-04-02 16:17:16 0593] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:17:16 0594] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:18:36 0983] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:18:36 0985] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:19:46 0910] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:19:46 0911] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:22:15 0267] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:22:15 0268] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:23:22 0759] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:23:22 0760] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:24:07 0109] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:24:07 0111] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:24:38 0992] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:24:38 0994] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:24:49 0815] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:24:49 0816] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:25:53 0467] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:25:53 0468] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:26:40 0418] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:26:40 0420] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:26:57 0492] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:26:57 0493] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:27:35 0704] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:27:35 0705] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:30:02 0308] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:30:02 0310] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:36:02 0499] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:36:02 0501] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:36:18 0279] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:36:18 0281] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:37:31 0994] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:37:31 0995] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:38:12 0564] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:38:12 0565] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:39:07 0071] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:39:07 0072] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 16:40:00 0736] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 16:40:00 0737] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 17:12:30 0194] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 17:12:30 0196] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 17:14:04 0868] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 17:14:04 0869] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 17:14:28 0638] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 17:14:28 0639] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 17:16:58 0059] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 17:16:58 0061] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 17:18:24 0124] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 17:18:24 0125] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
INFO [2018-04-02 17:20:12 0736] - Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO [2018-04-02 17:20:12 0737] - Initializing, config='com.gmcc.boss.common.base.CPEntity', returnNull=true
